Date,Forecast_Volatility,Forecast_Return,VaR95,VaR99
2025-03-30,0.02479310761924988,0.001176674868753752,-0.039607987164912296,-0.05649209345362147
2025-03-31,0.02503720599197697,0.001176674868753752,-0.04000952898804836,-0.05705986626858468
2025-04-01,0.02527626019708752,0.001176674868753752,-0.04040277315545522,-0.05761590634967183
2025-04-02,0.02551030655034006,0.001176674868753752,-0.040787779406555646,-0.058160298167337234
2025-04-03,0.02573938548052402,0.001176674868753752,-0.04116461424670826,-0.05869313575894512
2025-04-04,0.02596354122107036,0.001176674868753752,-0.04153335043990699,-0.059214522011455904
2025-04-05,0.026182821513037354,0.001176674868753752,-0.041894066520192695,-0.05972456797057114
2025-04-06,0.02639727731957676,0.001176674868753752,-0.04224684632195002,-0.0602233921765818
2025-04-07,0.026606962551925874,0.001176674868753752,-0.04259177852916431,-0.06071112002702583
2025-04-08,0.026811933806916877,0.001176674868753752,-0.042928956243624514,-0.0611878831661349
2025-04-09,0.02701225011594673,0.001176674868753752,-0.04325847657197862,-0.06165381890093834
2025-04-10,0.02720797270530782,0.001176674868753752,-0.04358044023147761,-0.062109069643792245
2025-04-11,0.027399164767741457,0.001176674868753752,-0.04389495117418095,-0.06255378238101288
2025-04-12,0.0275858912450429,0.001176674868753752,-0.04420211622934182,-0.06298810816721603
2025-04-13,0.02776821862151739,0.001176674868753752,-0.044502044763642355,-0.0634122016448957
2025-04-14,0.027946214728061573,0.001176674868753752,-0.044794848358907534,-0.06382622058871747
2025-04-15,0.028119948556623166,0.001176674868753752,-0.04508064050689136,-0.06423032547395173
2025-04-16,0.028289490084773602,0.001176674868753752,-0.04535953632069882,-0.06462467906842964
2025-04-17,0.02845491011011356,0.001176674868753752,-0.045631652262383054,-0.0650094460473704
2025-04-18,0.028616280094219033,0.001176674868753752,-0.04589710588623656,-0.06538479263039972
2025-04-19,0.028773672015826132,0.001176674868753752,-0.046156015597280234,-0.06575088624005783
2025-04-20,0.028927158232945734,0.001176674868753752,-0.04640850042444198,-0.06610789518107803
2025-04-21,0.02907681135359406,0.001176674868753752,-0.04665467980790848,-0.06645598833970603
2025-04-22,0.029222704114822112,0.001176674868753752,-0.04689467340012862,-0.06679533490232248
2025-04-23,0.02936490926972572,0.001176674868753752,-0.047128600879945054,-0.06712610409262827
2025-04-24,0.029503499482118063,0.001176674868753752,-0.04735658177933046,-0.06744846492665287
2025-04-25,0.029638547228548046,0.001176674868753752,-0.047578735322207785,-0.06776258598484901
2025-04-26,0.02977012470735086,0.001176674868753752,-0.047795180274838416,-0.06806863520054435
2025-04-27,0.029898303754420843,0.001176674868753752,-0.04800603480726853,-0.06836677966402913
2025-04-28,0.030023155765401478,0.001176674868753752,-0.04821141636533168,-0.06865718544157008
2025-04-29,0.030144751623993066,0.001176674868753752,-0.048411441552714846,-0.06894001740865412
2025-04-30,0.030263161636084796,0.001176674868753752,-0.04860622602260574,-0.06921543909677949
2025-05-01,0.03037845546942487,0.001176674868753752,-0.04879588437845016,-0.0694836125531285
2025-05-02,0.03049070209854959,0.001176674868753752,-0.04898053008336033,-0.0697446982124726
2025-05-03,0.030599969754700092,0.001176674868753752,-0.0491602753777279,-0.06999885478067866
2025-05-04,0.030706325880463407,0.001176674868753752,-0.04933523120460855,-0.07024623912920414
2025-05-05,0.030809837088882987,0.001176674868753752,-0.049505507142458764,-0.07048700619998807
2025-05-06,0.03091056912679192,0.001176674868753752,-0.04967121134481896,-0.07072130892016426
2025-05-07,0.031008586842131175,0.001176674868753752,-0.04983245048655203,-0.07094929812604336
2025-05-08,0.031103954155023268,0.001176674868753752,-0.04998932971625952,-0.07117112249583037
2025-05-09,0.03119673403238088,0.001176674868753752,-0.0501419526145128,-0.07138692849056417
