Cryptocurrency,Mean_VaR95,Mean_VaR99
BNB,-0.05407242562041816,-0.07694454564055558
BTC,-0.052042397032185904,-0.07384161212550772
ETH,-0.06615276691805082,-0.09378250001067184
SOL,-0.10711242460733607,-0.1514641590524801
