Cryptocurrency,RMSE,MAE
BNB,0.0247035083477218,0.02169563168457821
BTC,0.0228522902868494,0.02033586725057166
ETH,0.031010061279544053,0.02634119094728765
SOL,0.04507948491383379,0.041253498941062484
