"","Mean","Median","SD","Minimum","Maximum","Skewness","Kurtosis"
"BTC",0.000956334243021901,0.000356604160603347,0.0300906187911256,-0.17405255177667,0.171820561888124,-0.111808148608852,6.92619185146379
"ETH",0.00100857324927026,0.000843638268499092,0.0405813588811567,-0.317459030484062,0.230695229001131,-0.211195875858628,7.8493167777757
"SOL",0.00189372066600572,-0.000641420505196777,0.0622376812707099,-0.549582108496217,0.387184260542594,-0.226145612427787,10.6192954309935
"BNB",0.00164033693199042,0.0013290019144323,0.0410163935426468,-0.40445008746701,0.529217866971496,0.738361880480613,25.0257321736755
