Date,BTC,ETH,SOL,BNB
2020-04-11,-9.341136128107053e-4,-0.0012407375791614328,-0.20236345506140735,0.0048336145770147
2020-04-12,0.01619809433930719,0.018327298528975966,0.12755938643450374,0.040519020341243994
2020-04-13,-0.018247903368067142,-0.030642173710407228,-0.1262562243668187,0.04484440157317593
2020-04-14,-0.00038135085635992994,0.008390838729623873,-0.16135824269388943,0.032113833535986736
2020-04-15,-0.029712937076682877,-0.027725968459908046,-0.02334550136415159,-0.06185100795201137
2020-04-16,0.06902911272643486,0.11609775236710806,0.066066704090676,0.07322908442888698
2020-04-17,-0.0029015210954828063,-0.0030180646841806436,-0.04453126237458338,0.002058187643716458
2020-04-18,0.022500902000606615,0.08525763702333222,0.030361067104990702,0.053098508244539655
2020-04-19,-0.009446987957284492,-0.028759785790702708,-0.1152255737489492,-0.027694800982141388
2020-04-20,-0.043707892619057276,-0.05266815101230726,-0.11911103511898252,-0.06756887202356765
2020-04-21,-2.3764284804528302e-4,0.002553578095405129,0.08678016799948784,0.007947502052446431
2020-04-22,0.033849812461733464,0.05552139463880135,0.1628623184636246,0.03154983335778683
2020-04-23,0.042973347176261,0.013215131087699561,-0.09733398957521683,0.01975172094484412
2020-04-24,0.016178084496425882,0.022489079759753672,0.010755403345533154,6.376764540081403e-4
2020-04-25,0.002517739780348194,0.032638787944658354,0.014225713020120101,0.01788309644288555
2020-04-26,0.01441763608332991,0.009175625335023696,-0.012234803734187172,0.004793647473649187
2020-04-27,0.014957356048027393,-4.7051597240255205e-4,-0.10463232817012791,0.004837396946502981
2020-04-28,0.0014686626299020844,0.006018992534536416,0.14440789110649888,-0.0011504082180313624
2020-04-29,0.11984140644428898,0.08938818034765994,0.12031406300047753,0.06186698755479103
2020-04-30,-0.01632197818592296,-0.04412791306299457,-0.07630619269779043,-0.026635155509528996
2020-05-01,0.023536910446569692,0.03137629771866379,0.053186159204860195,0.030697967411427385
2020-05-02,0.01387212727903453,0.005150944616688413,-0.01788413977137776,0.001132908851586123
2020-05-03,-0.010189912204170426,-0.02060900756580697,-0.05209824508930644,-0.026425560916682134
2020-05-04,0.0017052718293886215,-0.013166942127806891,-0.017882763940440916,-0.0014925746859741906
2020-05-05,0.010093566989645808,-0.006745984323549337,-0.039191556469010125,-0.010639598260772765
2020-05-06,0.029084126239824926,-0.013234920187720434,-0.03045584326270806,-0.015649784824766755
2020-05-07,0.07107536685466265,0.039557083588650066,-0.015549519277698931,0.021156173968133185
2020-05-08,-0.01099854717229043,0.0033021195390361413,-0.013229497683395208,0.01332843393786698
2020-05-09,-0.02559949751419488,-0.006554315303106684,-6.531900017107128e-4,-0.017878662397741607
2020-05-10,-0.09133874992634539,-0.11507224942279226,-0.11838496757081807,-0.10186952703246499
2020-05-11,-0.017817356616017577,-0.014348084898085034,-0.04136455217638213,-0.013037564438941551
2020-05-12,0.02328939648252515,0.01812111738794453,0.044231823487027255,0.0417400513248416
2020-05-13,0.0515216067309936,0.050876536321911026,0.021956421043750396,0.024958958262846664
2020-05-14,0.048814308336528,0.01867956721558528,0.03320278101726715,0.013473683515618173
2020-05-15,-0.0425545413366315,-0.03676756513229673,-0.016594028178667064,-0.03758680660907965
2020-05-16,0.005219563387115045,0.02550964116382559,0.06796814068100998,0.01870177804021189
2020-05-17,0.030843414668986213,0.03178785635289216,0.02288505821746417,0.016243427212195183
2020-05-18,0.005757095071523111,0.034941413045499026,0.06272467624362316,0.01952172138629482
2020-05-19,2.5318046802702554e-4,-0.005018720348730632,-0.044193978948879886,0.030685097605060552
2020-05-20,-0.021407053865040382,-0.01583972265668354,-0.07530586281946783,-0.01566522901689371
2020-05-21,-0.04743978112005287,-0.04983286782666152,0.050106798387569484,-0.04639636376008127
2020-05-22,0.011039704675422257,0.035800572855102075,0.04803019118053897,0.03157653950332229
2020-05-23,0.002904542937139709,0.007335166664824477,-0.04129327496053653,-0.0030937523420342394
2020-05-24,-0.046555848053543514,-0.030771551278411913,-0.11022055378920775,-0.030901129927543014
2020-05-25,0.013173543308948155,0.014469094808377214,0.09016200149898501,0.019546568504590134
2020-05-26,-0.008103063993219806,-0.016784527401938476,-0.046935690739491776,-0.01155120239107843
2020-05-27,0.0384109712226941,0.0338966292048859,0.030369325559147953,0.017167814135452097
2020-05-28,0.03686071480897368,0.0512213240395365,-0.02715103255450968,0.03374454497110868
2020-05-29,-0.00913557886418559,0.0037896620879971366,0.007379410065276648,-0.0010386645308781972
2020-05-30,0.02730538972956431,0.09367319345141745,0.014593988355628085,0.04035545373521954
2020-05-31,-0.024984292562995947,-0.04805224650184847,-0.030938068764573723,-0.04042339324356403
2020-06-01,0.07198931640233752,0.06704243192287951,0.013024814119794281,0.0500438790457558
2020-06-02,-0.0647494748028361,-0.04037097908528953,-0.022460005990384113,-0.038443232049533815
2020-06-03,0.01322969499089588,0.02891888099480422,0.03813919051619574,0.017600190678470184
2020-06-04,0.014793539385651755,0.0010113280587598084,0.0011551092471521196,0.0011659881782231096
2020-06-05,-0.013881075272664134,-0.013196598186858921,0.11845424192031284,0.006972806003742171
2020-06-06,-0.0012271221586050984,0.0029362764545730613,-0.060336192949033085,-0.00867868156902718
2020-06-07,0.010835668358636141,0.013286752165513782,-0.009467283012141947,-0.005082461872904176
2020-06-08,0.001294060354382509,0.00464988640921149,0.08057185866129218,-0.003100149924438078
2020-06-09,0.002474647666023344,-0.005693793685941806,-0.015548666613222961,0.002431749167505881
2020-06-10,0.007565917007305245,0.010291388128967682,-0.020163901021797936,-0.0014297244282905908
2020-06-11,-0.05715571914128326,-0.06573317506329257,-0.11686432868112578,-0.0653590430521298
2020-06-12,0.016919583790143022,0.024684089947786703,0.034478937372156016,0.02184655495122012
2020-06-13,-5.872938226616498e-4,0.005943040381678699,0.025065936245298126,0.009231546902207732
2020-06-14,-0.009382843818569242,-0.020270905736517797,-0.03656862003131661,-0.01000558106085414
2020-06-15,0.00678586233768641,-0.018040996406331722,-0.028399212972721632,-0.016430873723961348
2020-06-16,0.009197339368025581,0.019327861188823015,0.025839163982439906,0.002265092226160892
2020-06-17,-0.006075177257296005,-0.0059382361976272335,-0.006878417275544835,-0.00118295203350538
2020-06-18,-0.007242643975011731,-0.003986460163972971,0.06554267464633878,-0.011895008690631759
2020-06-19,-0.013243316204146538,-0.021614295157067254,0.09718296730277887,-0.018776627358259912
2020-06-20,0.00476063307275254,0.009359894483451647,-0.061379788608748376,0.008792103044533928
2020-06-21,-0.0030812411837963793,-0.001241376461554644,0.04490327597759042,-0.0028914259050156765
2020-06-22,0.0364203993156309,0.05746099934896609,0.07675069932945905,0.029196214131654852
2020-06-23,-0.001977301049160829,0.006612083031699356,-0.025853868509132516,-0.0032051370812422597
2020-06-24,-0.03337092327378066,-0.03488344985990466,0.03971627180308429,-0.024396735445046946
2020-06-25,-0.0052530814953222205,-0.012067012857183812,-0.032826298267883136,-0.00651335401880182
2020-06-26,-0.011059043986902495,-0.014165194538048986,0.03844144951015471,-0.01095528271571311
2020-06-27,-0.012909378740094013,-0.02964352880731358,-0.03794522526176192,-0.03646624396837872
2020-06-28,0.010796911071169646,0.010650726638250951,0.11247898404219414,0.015346293020746415
2020-06-29,0.005156696867222976,0.012557775072237654,0.06539055740174954,0.005506381353701073
2020-06-30,-0.005768117633966341,-0.008272111948754102,0.008922441607372628,-0.005928447220489463
2020-07-01,0.009836784692076606,0.020980734621116603,-0.032437897739225285,0.0266237110342189
2020-07-02,-0.011433924918010874,-0.0074753917531014125,-0.06502912728715154,-0.018552579333360963
2020-07-03,-0.0039654121072665305,-0.017613953838953478,-0.015663866720205616,-0.015992881346119425
2020-07-04,0.004959953765061087,0.01622635016177032,0.01585995284335609,0.01692503936295031
2020-07-05,-0.006431364974035958,-0.006172105973277553,-0.12067049893683482,-0.004688909337662306
2020-07-06,0.03269036405452752,0.059038326926726725,0.0232138456850825,0.05140349523549892
2020-07-07,-0.01322747502849353,-0.010132273750978804,0.06181486836336103,0.028638089313179016
2020-07-08,0.018849585054621087,0.031271934070352,0.056365532353480935,0.02691105214880052
2020-07-09,-0.016076772716191456,-0.014924342339071472,0.06879594376821499,-0.020098202964496714
2020-07-10,9.051613040611528e-5,-0.008392492945224816,0.06805857529230021,0.02204631575174343
2020-07-11,-0.004153644618959618,-0.006355860406213054,0.012038170500589682,0.020694092133995312
2020-07-12,0.0039049160883397604,0.011103017556389538,0.09494591139340569,0.034269297772005824
2020-07-13,-0.00355135786885441,-0.010491790393600375,0.14531484136555228,0.009442682668989733
2020-07-14,-4.331631390286361e-5,0.0025297335252929543,-0.02380605677446454,-0.01790304377298746
2020-07-15,-0.0054650618081169,-0.007471129973283475,0.11624391937812587,-0.02756758029892037
2020-07-16,-0.0066149394632759595,-0.02026334593945478,-0.3907907887863034,-0.025760554558730497
2020-07-17,0.0020964170070048027,-0.0037211529112850528,0.11404799329803601,-0.003439702065606731
2020-07-18,8.353119275827936e-4,0.011578063989272636,-0.011575830349983881,0.0024399045687517606
2020-07-19,0.0029193317943754238,0.012674809280072807,-0.04901423785643969,0.04727267883542652
2020-07-20,-0.0023526855605595642,-0.009836364543039267,-0.05271543229649846,-0.026585248778009163
2020-07-21,0.02272657241900866,0.03684585765271109,0.11261902676422403,0.013108072436759599
2020-07-22,0.01592346743118611,0.06774541743749385,0.06624160598860873,0.02102995117474249
2020-07-23,0.005831453188376301,0.04656786854733319,0.005498737550592311,0.03162974160971377
2020-07-24,-0.004621806400933792,0.016343857499681924,-0.053306460807687,0.025359695998757648
2020-07-25,0.014595935230039103,0.08523079194338834,0.22958523747782544,0.03203626883641464
2020-07-26,0.023292897324559192,0.018207606081604766,0.22303570505717007,-0.01299837066982068
2020-07-27,0.10400866598506298,0.037619387452618724,0.1278906777064598,0.005074142978299001
2020-07-28,-0.007126663372122977,-0.015221415901994995,0.0030488425272555686,0.027806010986803464
2020-07-29,0.01704870717725271,0.0048314966898592715,-0.07310928777281867,-0.013874138142034198
2020-07-30,9.676074745073038e-4,0.05024438001170051,0.017051093134848094,0.005870748733005637
2020-07-31,0.01892242337372707,0.03225496975867781,-0.09223883663069732,0.03222484167173478
2020-08-01,0.037792033732147345,0.10861109189971963,-0.007548975814785863,0.04087368355412968
2020-08-02,-0.06191185712282632,-0.03844509371057292,0.13244915751287167,-0.027572797468887522
2020-08-03,0.01728605335624067,0.04128493039350101,0.033737406350974664,0.051645299281468215
2020-08-04,-0.0036037470015539697,0.00922567128788554,0.03757835893088324,0.010265571850024635
2020-08-05,0.04716003790353618,0.02960567506291234,-0.06460212220263395,0.04620113104715706
2020-08-06,0.0027841443313860736,-0.016643684970104822,0.22912623137132548,-0.027304226952402644
2020-08-07,-0.01525190204918836,-0.039900966351996026,-0.056136812721598095,-0.01759802530699517
2020-08-08,0.013065469924047335,0.03743039101740919,0.17048284259906565,0.025076613474579013
2020-08-09,-0.006684391826166092,-0.007303265912601553,0.0746049024366906,-0.017753486186923517
2020-08-10,0.017184200904589275,0.012114688814064856,0.16131612490236313,0.006132728657346487
2020-08-11,-0.04016111286278701,-0.03994882867650329,0.05335233592846733,-0.061876523526131155
2020-08-12,0.015169300755772497,0.027587937416845065,0.13205094362083325,0.022996753559033856
2020-08-13,0.017048853955415666,0.09208547767635356,-0.003662142286560144,0.014790002735062036
2020-08-14,-0.0012963612281762238,0.01998828916882811,-0.09681400611577651,0.04405364153647051
2020-08-15,0.008193734253124418,-0.009286072958644809,-0.06845894848861334,-0.002084564936562394
2020-08-16,0.0022817499658511764,9.956891133580115e-4,0.061472929530505205,0.020437643547254858
2020-08-17,0.029951760409884898,-0.009858258932101016,-0.08859381938988942,5.531274767918148e-4
2020-08-18,-0.021709414754999656,-0.013741272520174874,0.07201213747457635,-0.019019397748909928
2020-08-19,-0.019617886991365907,-0.04145841309196818,-0.13858515027616858,-0.033358088617476245
2020-08-20,0.010161327741759152,0.024247074307140792,0.10135093664380257,0.03445837356787784
2020-08-21,-0.0243618627931248,-0.06783780698791553,-0.08607452276761052,-0.042622446623088006
2020-08-22,0.0076768212803930425,0.017093742147864077,0.025893762488766514,0.004995703587272526
2020-08-23,-0.0014543864269729312,-0.011307391987633864,0.09514662280239694,-0.016730064162112424
2020-08-24,0.009364458635236161,0.04193010278088405,0.006765726604625044,0.03305448317317383
2020-08-25,-0.03530600440853249,-0.06097527778651024,-0.02424870723012118,-0.05130227805014753
2020-08-26,0.010696334763965254,0.006398965251658062,0.08609015714279233,0.03666193592535283
2020-08-27,-0.014463477673961833,-0.009968883232899017,-0.0323626216130235,0.03543060659074193
2020-08-28,0.019164718595602537,0.034022320200206124,0.1521972549131576,0.00229618724148839
2020-08-29,-0.0030920412474539916,0.010170566636206857,-0.01067255822695734,-0.005311066604418269
2020-08-30,0.017627931208673786,0.06877912769525985,0.11124713788040475,0.027163863940125044
2020-08-31,-0.002623558191723774,0.015481979011439329,0.07515529549155553,-0.019295384070979527
2020-09-01,0.02449528784504018,0.09209598157915444,-0.0959541410097633,0.067881537632419775
2020-09-02,-0.04759982836281473,-0.08075855088398409,-0.04232479254621491,-0.0053212163040030624
2020-09-03,-0.108024907829682,-0.13187965947361313,-0.16604549416373882,-0.18015703345699974
2020-09-04,0.02568095890557487,0.006639565481612486,0.005218087731649224,0.02093464699341352
2020-09-05,-0.03310004713411807,-0.14672010554152415,-0.3110525732176359,-0.07786559546825922
2020-09-06,0.010834787536524004,0.05258724172698148,0.1721801071957827,0.17442469340447664
2020-09-07,0.00864046839153687,-0.0019511248278716309,-0.05238971741487419,-0.034987606597018495
2020-09-08,-0.023223905590111116,-0.04367466020134536,-0.1706960472932041,0.03496975896765786
2020-09-09,0.010879835709758368,0.039231591797243226,0.38718426054259447,0.05617683848896737
2020-09-10,0.011724294913523892,0.047260187224691386,-0.04688054054736379,0.0012058721319108123
2020-09-11,0.0036386352484214513,0.017754131626045222,-0.012297476721016443,0.03565672843005396
2020-09-12,0.003958714499077587,0.03278379314954982,-0.028039355891529283,0.11417953531868408
2020-09-13,-0.011404867595945944,-0.057439922524687326,-0.032577731524471076,0.08492586728847584
2020-09-14,0.034003650927763474,0.03150029005360544,0.013331799634920927,0.0038566096395884486
2020-09-15,0.010812510742823633,-0.033501372945261565,-0.10641428021723431,-0.13642845612793364
2020-09-16,0.016347532426243205,0.0026636066188041596,-0.14382316345641077,0.027634344243818276
2020-09-17,-0.0023640918305822822,0.06150844366984387,0.12761736450175032,-0.0353568268022415
2020-09-18,-4.02336913788659e-4,-0.012037361158998117,0.0720553531749133,0.014941685839271912
2020-09-19,0.013590771382837374,0.003064884699356618,-0.025763539462112073,-0.005429737990197303
2020-09-20,-0.014167885530092406,-0.038311849876170534,-0.053569954804647546,-0.03202832671193567
2020-09-21,-0.044493310828050525,-0.0821594201928395,-0.03127354922804626,-0.1259921536756088
2020-09-22,0.007256944592073822,0.007918283041278507,0.046694777767184226,0.035168716724122806
2020-09-23,-0.028125828810468434,-0.07029993270086798,-0.027386369453494153,-0.052986133226375465
2020-09-24,0.0489361364351204,0.08428691779931885,0.09923855770587053,0.074051840478226
2020-09-25,-0.006278889783731145,0.008061371238388126,0.0176856709577482,0.002011577716389823
2020-09-26,0.005410230472936206,0.009340109881336822,-0.01705129992697052,0.061247704091304644
2020-09-27,0.0022805831897407813,0.0054715696881233455,0.005803147334363379,-8.380336159432566e-4
2020-09-28,-0.006108227146349066,-0.006396569296731158,-0.06427124326831679,0.029351751736943488
2020-09-29,0.012525583307516186,0.012863104532477188,-0.00347100254855226,0.06678534551122883
2020-09-30,-0.005561903231040333,5.015482885211142e-4,-0.016617245822973636,0.015409465409388812
2020-10-01,-0.01542167540122108,-0.018880243744131775,-0.012797077788253564,-0.06556686866123851
2020-10-02,-0.0041025453782754795,-0.01992211584148773,-0.08568764219495806,-0.005347162116770665
